Timestamp,Ax,Ay,Az,Gx,Gy,Gz
1861,-21268,528,5332,138,8378,-3392
1883,-9692,5360,5932,1051,3631,1407
1905,-8652,2820,5424,-3632,-2896,975
1927,-8380,1196,3524,-4433,-8386,1368
1949,-8800,2076,2696,-5066,-13338,2250
1971,-10728,2000,2344,-5165,-18558,2362
1993,-12768,364,656,-6445,-22792,2706
2015,-15788,868,-40,-8376,-25990,2976
2037,-18552,1336,-1964,-7838,-28564,2865
2059,-20000,2352,-3880,-6665,-30036,3496
2081,-22336,2200,-4820,-8383,-30775,2976
2103,-24016,1880,-4680,-8292,-31028,3029
2125,-24828,2136,-4528,-7838,-30868,1690
2147,-25016,1672,-4828,-7047,-29722,834
2169,-25816,2220,-5752,-2444,-28084,1000
2191,-24740,1972,-8476,-449,-24880,816
2213,-23484,944,-10788,1284,-22237,932
2235,-22128,-1720,-18704,4029,-19052,3253
2257,-17540,80,-17928,2229,-15803,2957
2279,-13588,-2056,-15120,2949,-9753,803
2301,-13568,-1924,-15452,4469,-2162,-706
2323,-15448,-1624,-13424,4911,4767,-392
2345,-17716,720,-12760,8092,9351,621
2367,-23172,-392,9164,4440,5689,-1715
2389,-12644,-3712,18404,-1196,8464,-1041
2411,-18184,-3032,-5328,2166,12012,-1263
2433,-18996,728,-1684,3485,11273,1232
2455,-22584,8952,-5840,-1709,10683,2593
2477,-20112,1724,3256,-6766,8914,615
2499,-13784,1244,864,-3125,9976,489
2521,-17268,664,-124,-290,8952,751
2543,-16880,1132,-16,2347,8262,1740
2565,-16884,2404,-68,1269,7418,2479
2587,-16080,3812,-100,-2329,5996,629
2609,-15884,3272,-824,-4007,5969,81
2631,-16236,2996,-1224,-5951,6231,-37
2653,-16392,2672,-692,-6729,6328,-419
2675,-16244,2004,-452,-5155,6001,-630
2697,-15940,2544,-180,-2364,6248,-306
2719,-15940,3072,-1020,-298,6782,54
2741,-16168,3060,-1756,175,7323,-98
2763,-16200,2992,-1928,353,7718,-232
2785,-16684,2752,-2484,187,7920,-435
2807,-16852,2120,-3004,-14,7686,-881
2829,-16788,3760,-3120,583,7599,-988
2851,-17504,2984,-3368,918,7529,-1285
2873,-17912,3096,-3452,2002,7407,-730
2895,-18672,1748,-2548,2467,7439,-982
2917,-18044,432,-3432,2074,8496,-620
2939,-17572,1136,-3824,1499,9617,-504
2961,-17176,2368,-4248,-47,11017,-1216
2983,-17852,4008,-4064,-373,12298,-1296
3005,-18548,4188,-4596,630,13106,-1445
3027,-18684,3596,-4900,3221,12824,-1266
3049,-19656,1924,-4032,5284,13384,-965
3071,-21404,3100,-2524,6671,13617,-1841
3093,-22836,1088,8,10240,14387,-808
3115,-25956,1532,1656,15175,15792,-1290
3137,-23984,4728,-2408,20512,20444,-256
3159,-26220,2948,-7588,14198,21014,-1926
3181,-26656,8620,1280,1649,10801,1023
3203,-19480,7260,-5040,13410,15215,-2415
3225,-8244,3252,-12888,5840,21697,-9221
3247,-16056,1628,2188,-2640,1741,3733
3269,-5412,6376,6784,-991,-3513,2987
3291,-4316,1268,4808,-1245,-9536,2208
3313,-6196,1488,-1448,-2371,-14019,3649
3335,-7952,3072,760,-8894,-19623,4809
3357,-10568,1692,-96,-11547,-24468,4023
3379,-13056,1112,-1340,-14164,-28751,3377
3401,-16240,1044,-2576,-14663,-32336,2187
3423,-19816,564,-3516,-13642,-32768,1324
3445,-22528,180,-4844,-8836,-32768,111
3467,-24496,1020,-6904,-5116,-32768,859
3489,-28152,4308,-9928,-5841,-32768,1389
3511,-29024,4908,-8944,-8288,-32768,1216
3533,-27532,4652,-10540,-6055,-32768,972
3555,-27856,3648,-11792,-1100,-32189,1877
3577,-25924,1016,-13496,1273,-28537,2040
3599,-22660,-480,-19108,2867,-23876,3527
3621,-17212,1968,-21336,1244,-17073,4573
3643,-12428,-308,-21108,2743,-9257,2345
3665,-12308,-3104,-20172,3507,1263,1038
3687,-14896,-2048,-17484,3443,8719,-287
3709,-17092,456,-13976,-23,13933,-682
3731,-23692,1032,2740,-1678,13865,-970
3753,-26696,-2220,32767,-12487,-2114,-1990
3775,-12548,-6692,-13712,7371,13487,-2342
3797,-29612,1172,1468,7135,9523,2588
3819,-19212,22620,-14884,2845,16049,6710
3841,-23136,4240,692,-4195,8917,-1096
3863,-15796,164,-200,-4745,10731,-974
3885,-16468,1560,-300,-749,9957,123
3907,-17376,2296,-624,728,7890,364
3929,-17232,2116,-260,1486,6261,1094
3951,-16456,3332,24,367,4879,165
3973,-14976,4324,8,-423,4540,-530
3995,-15952,3188,-608,-833,4735,-683
4017,-15692,3348,-708,-5412,5460,-727
4039,-15356,3220,-808,-9271,6858,-843
4061,-15968,2744,-300,-8372,8103,-1105
4083,-16440,2348,-612,-5781,8563,-1045
4105,-16104,2980,-1256,-2470,9183,-164
4127,-16056,3328,-2000,-688,9761,-4
4149,-16428,3276,-2336,341,9815,-182
4171,-16828,2956,-2904,-4,9649,-571
4193,-16796,2656,-3196,69,9649,-1014
4215,-18340,2432,-3916,699,9147,-1189
4237,-18892,2260,-4060,2047,8517,-952
4259,-18636,1176,-3704,2059,8451,-681
4281,-19100,1472,-3812,1161,9804,-651
4303,-18248,2444,-4052,-565,11433,-1050
4325,-18396,3768,-4000,-375,12730,-1417
4347,-19220,4556,-3856,974,14343,-1673
4369,-19912,4456,-3340,3584,15074,-1540
4391,-21492,2876,-2428,5855,16033,-1260
4413,-24552,4008,392,8221,16188,-1688
4435,-26028,704,4012,12468,16028,-1193
4457,-24616,252,3904,17603,16279,-2498
4479,-27116,6068,-8504,18406,24710,-1184
4501,-25420,5524,5288,8204,20256,-4462
4523,-18828,9168,-1876,8597,10815,-4909
4545,-13092,4996,-20144,8436,22071,-5525
4567,-30296,7656,-5296,-6947,2899,-557
4589,-9544,9984,11928,-7715,-7124,2217
4611,-4568,3316,10072,-13910,-12370,-2454
4633,-6356,1908,3620,-7345,-18039,-914
4655,-10092,3408,2260,-7755,-24768,1186
4677,-12836,4564,1792,-8645,-30698,2152
4699,-16516,5076,520,-9616,-32768,2665
4721,-21552,3616,-1668,-12252,-32768,2585
4743,-26504,2844,-3112,-13287,-32768,1960
4765,-28776,1776,-5212,-9029,-32768,1947
4787,-31608,2376,-11320,-3428,-32768,2565
4809,-32768,2744,-13748,-4765,-32768,2878
4831,-32368,4152,-17876,-4764,-32768,2966
4853,-28740,3480,-19800,-6826,-32768,546
4875,-23640,1728,-19456,-4164,-29139,736
4897,-20656,-1508,-20492,1368,-24825,1191
4919,-15612,-2552,-24664,8988,-17260,3366
4941,-10572,-1204,-24304,9183,-8751,2619
4963,-11388,648,-21764,7669,674,323
4985,-14072,-1488,-15908,5390,7845,-745
5007,-17136,-936,-10116,3396,11971,851
5029,-18624,2332,-4972,-1401,12832,1423
5051,-19288,1144,-5136,-4233,11727,837
5073,-25252,6268,30536,-7253,1304,-224
5095,-10216,-1088,20752,-691,6823,-1034
5117,-28260,-11272,-13428,7273,7602,584
5139,-13044,4784,5284,5035,10808,991
5161,-18144,1736,2524,3257,12784,367
5183,-19468,7576,-5264,-2539,14014,3125
5205,-16060,840,-232,-668,11542,-2049
5227,-18024,1980,-508,3301,9549,-130
5249,-16808,3336,564,2817,7206,-944
5271,-16912,2388,1088,1801,6736,-24
5293,-15036,4492,1096,2641,6941,921
5315,-15232,5380,816,381,6669,-429
5337,-15008,3804,44,-1401,6662,-1285
5359,-15668,2996,-288,-2301,7353,-588
5381,-15836,3020,-640,-2981,8317,-33
5403,-16032,3588,-636,-2484,9179,-118
5425,-15668,3404,-688,-2691,10202,-469
5447,-16012,4052,-1536,-2867,10971,-796
5469,-16128,4184,-1924,-3182,11440,-1001
5491,-16340,4324,-2580,-2658,11168,-1014
5513,-16764,3772,-3256,-2622,10802,-1096
5535,-18140,2608,-3720,-1280,9860,-1607
5557,-18612,2240,-3892,486,8494,-1154
5579,-18820,1276,-3704,1883,8180,-829
5601,-18152,2444,-3704,1758,8889,-512
5623,-18632,3424,-3440,1021,10479,-1018
5645,-18284,2960,-3644,858,12114,-1434
5667,-18544,3576,-3780,1145,13436,-1789
5689,-19840,3776,-3800,1712,14285,-1841
5711,-22928,3284,-2496,2517,14756,-2210
5733,-21200,4440,-1360,7022,13911,-2262
5755,-23580,2780,2384,9470,14886,-2155
5777,-24820,-316,3812,13665,15532,-1740
5799,-22752,6136,-3292,19778,20164,443
5821,-29124,6308,-820,12451,23141,-772
5843,-25356,8948,11344,-408,11662,-4117
5865,-12228,10536,-2420,20236,15927,-5295
5887,-9444,7672,-14588,8627,20410,-7183
5909,-23136,2956,4804,-7842,4340,5274
5931,-6476,11128,11760,-3587,-5825,5661
5953,-6108,2180,9336,-7814,-11559,-88
5975,-6156,1072,2160,-4015,-17871,1107
5997,-9556,3764,332,-6488,-23458,4186
6019,-11352,5892,1724,-11544,-29627,3454
6041,-14616,3444,-196,-14561,-32768,3062
6063,-17824,2744,-1688,-18649,-32768,1637
6085,-22048,484,-3192,-15595,-32768,483
6107,-26312,388,-4644,-6716,-32768,1096
6129,-30016,2928,-8152,-4447,-32768,2377
6151,-32768,3316,-14404,-6184,-32768,2162
6173,-32768,1928,-18564,-8759,-32768,-112
6195,-32768,136,-22152,-3695,-32768,-1178
6217,-24536,2624,-25876,-1690,-29121,-1976
6239,-16532,3244,-31224,5448,-22142,-2284
6261,-11276,-4776,-30384,15069,-10521,1838
6283,-10868,-1952,-25440,11335,2766,2346
6305,-16168,2068,-21028,3378,11053,-2915
6327,-19240,44,-14848,299,16097,-3179
6349,-31264,10168,32767,3408,6235,-1601
6371,-12504,-2844,9596,-8168,12621,-262
6393,-26840,-10648,-28000,1449,20592,-2060
6415,-18592,9404,1468,2548,12730,1539
6437,-21060,11660,-7988,-199,14400,588
6459,-19424,-1272,72,-5525,12244,-342
6481,-12524,6320,-1204,-3333,11609,884
6503,-18188,2548,-1140,-2805,9706,-2065
6525,-16760,3332,-356,12,7647,-1798
6547,-16764,2176,-208,-594,6963,-958
6569,-16364,2944,660,-1504,6999,-1114
6591,-15308,2308,252,-2936,7457,-1455
6613,-16036,2660,-248,-4233,7285,-1871
6635,-15912,2832,-404,-5692,7438,-1565
6657,-15964,1936,-2228,-6792,7941,-1915
6679,-16208,1924,-2164,-8690,8559,-1846
6701,-16648,1308,-2060,-6914,8843,-1786
6723,-16948,1856,-2120,-3124,8407,-1298
6745,-16648,1804,-2948,-114,8130,-1257
6767,-16900,2100,-2536,2029,8052,-838
6789,-16944,2100,-2664,2942,8227,-1115
6811,-17568,1928,-3192,3164,8500,-1517
6833,-17680,2668,-2712,2581,9003,-1915
6855,-19508,2912,-2804,3131,10449,-1724
6877,-20072,1044,-3576,3345,12406,-3001
6899,-20460,580,-3572,2840,14524,-3123
6921,-21484,1956,-3512,2885,15700,-3186
6943,-21744,1244,-3452,4178,15361,-3413
6965,-25712,580,-1004,5351,15781,-2981
6987,-20664,4180,1048,9962,14921,-3301
7009,-25004,2676,4948,14203,15791,-3565
7031,-22740,4380,2756,20277,16024,-5383
7053,-30748,160,-3732,15310,14936,-6544
7075,-20672,6844,-5392,11421,15682,-3357
7097,-14828,11392,-5520,14509,20435,-2478
7119,-32192,3452,1804,-5246,15500,-1450
7141,-8976,10008,13320,-14072,3966,6250
7163,-7456,3372,9236,-16830,-2814,4707
7185,-6756,4340,3684,-11826,-10071,5025
7207,-7480,3088,2344,-12372,-18244,4215
7229,-10048,1284,2824,-12954,-25131,4260
7251,-12788,500,20,-11175,-30321,4189
7273,-17364,-1012,-1596,-10428,-32768,4186
7295,-19724,-1836,-4524,-9786,-32768,3919
7317,-24892,-32,-5752,-6735,-32768,3790
7339,-26692,-588,-7032,-8237,-32768,3119
7361,-29292,1416,-8856,-9687,-32768,2957
7383,-30976,1372,-9412,-10590,-32768,1536
7405,-29744,388,-8748,-7389,-32768,697
7427,-29848,-1140,-11356,-1760,-32768,475
7449,-24740,-2632,-15888,2224,-29574,-604
7471,-19632,1372,-21512,5227,-21595,1230
7493,-14264,-320,-25540,8673,-15844,902
7515,-10776,-4420,-23456,10311,-5773,1960
7537,-13604,-3668,-21960,9383,4761,-397
7559,-15892,-952,-18860,1959,11557,-2410
7581,-17584,-1688,-16028,-235,16905,-2285
7603,-32648,-2076,24884,3475,7547,-329
7625,-10924,2632,20068,6113,10087,-1777
7647,-32672,-5700,-21396,9450,15234,3303
7669,-16568,8004,-7864,8528,15794,2626
7691,-22272,17412,-7872,2281,13971,3800
7713,-20164,748,1332,643,10508,-2219
7735,-14920,3160,-492,2085,10141,646
7757,-16684,4056,-616,1934,7988,422
7779,-16768,3496,-296,4415,5632,-731
7801,-16072,3960,992,5927,4359,-27
7823,-15308,4160,648,4955,3661,-882
7845,-15848,3260,-28,5663,3940,-507
7867,-15640,4376,-300,4532,4336,-537
7889,-16056,3396,-308,3557,4073,-1193
7911,-15716,3920,-348,3911,4639,-898
7933,-15692,4232,-864,4071,5264,-340
7955,-16308,3944,-832,4692,5117,-1255
7977,-15896,3764,-1580,2823,5469,-1586
7999,-15920,3524,-1648,1620,6177,-1842
8021,-16112,3132,-2004,849,6843,-2179
8043,-16552,3560,-2376,595,7389,-2295
8065,-17216,2432,-2764,709,7475,-2389
8087,-17928,2972,-2504,695,8106,-2388
8109,-17732,2476,-2868,-2043,9731,-2760
8131,-17836,3244,-3108,-5146,12334,-2974
8153,-17916,5564,-3772,-8954,15963,-3846
8175,-18988,2504,-3568,-12898,19102,-6554
8197,-21304,3368,-3472,-10327,19957,-7011
8219,-22576,3168,-3008,-5777,17915,-6193
8241,-22924,1548,-712,-164,16160,-5196
8263,-22248,5128,328,3829,14890,-5184
8285,-22880,3336,4496,5869,17464,-4884
8307,-24992,3864,1660,9093,19242,-4911
8329,-25412,13340,-5196,9369,22654,-2539
8351,-25896,1940,-728,5307,14419,-5630
8373,-23352,12344,-5412,17249,17897,-5256
8395,-18908,6128,-15360,-224,20383,-10995
8417,-25088,-2356,-700,-15065,12416,-5384
8439,-8588,9224,20244,-9454,-2127,4654
8461,-5192,4204,7304,-1343,-8107,-1577
8483,-6472,2864,2020,-4746,-15550,795
8505,-9580,4288,3276,-5290,-22891,3538
8527,-11232,4676,1072,-6696,-28362,4447
8549,-13724,5336,-380,-11345,-32768,4547
8571,-16932,2968,-1732,-11482,-32768,3584
8593,-21964,2476,-4168,-9511,-32768,4106
8615,-24472,3280,-5120,-9205,-32768,4644
8637,-28336,5924,-8536,-8522,-32768,4780
8659,-31664,6300,-9724,-9472,-32768,3844
8681,-31968,5196,-11116,-6344,-32768,2443
8703,-31140,4916,-13608,-74,-32768,3744
8725,-30144,3472,-13888,2117,-32768,5323
8747,-25816,-1804,-18564,6759,-31505,5560
8769,-19596,-3668,-28928,12663,-21119,8336
8791,-10492,-2276,-32392,7338,-6818,7609
8813,-10384,-328,-24640,3522,5091,1295
8835,-15492,-1456,-21332,-126,14341,-2625
8857,-20136,-976,-14764,-2740,18495,-1372
8879,-27796,4052,32767,-15428,56,-3247
8901,-10344,-20740,-26668,-8276,24562,-9605
8923,-32768,-3060,3288,12024,14480,-536
8945,-23608,29184,-21612,-2168,23573,7947
8967,-18396,-5124,1196,-5716,12721,-4798
8989,-15136,2632,-388,-3656,12383,227
9011,-15892,5532,-1128,1922,9660,-1290
9033,-17484,1780,-1020,2161,7371,-1234
9055,-16592,2144,-180,3378,5696,277
9077,-16680,3944,-24,4213,5138,884
9099,-14976,4748,-680,1938,4744,-390
9121,-14852,4400,-1724,-678,5823,-1078
9143,-15572,3216,-1244,-4335,7228,-1479
9165,-15664,3848,-1172,-4167,8893,-1900
9187,-16736,3024,-1704,-5398,9116,-2125
9209,-16776,3188,-1348,-4039,8871,-1882
9231,-16328,5120,-1652,-2446,8496,-1884
9253,-16124,3648,-2256,-2117,8918,-2063
9275,-17072,3392,-2552,-643,9498,-1877
9297,-17868,3984,-2616,1280,9462,-1531
9319,-18512,1708,-3376,2549,9715,-1529
9341,-18580,748,-3316,1627,10762,-2079
9363,-19576,1912,-3532,1391,12874,-1503
9385,-19984,2036,-3884,773,14361,-2110
9407,-20256,1668,-3504,27,15483,-2363
9429,-20916,2552,-3804,434,16210,-3120
9451,-20836,3632,-3068,1740,16324,-2776
9473,-24344,3952,-504,3150,16469,-3455
9495,-23472,3256,2532,9818,15490,-2700
9517,-27044,404,4544,18675,16484,-2664
9539,-22608,7340,-7116,24068,22737,-1275
9561,-28780,7332,2040,12782,18951,-1533
9583,-21216,9428,-1260,9968,10484,-4353
9605,-14916,5528,-14068,13007,22353,-10664
9627,-29692,5524,-9316,2565,13309,-4881
9649,-12616,5132,10940,-6232,-2118,4542
9671,-3548,6860,8068,-5611,-5573,1883
9693,-4480,724,1216,-5323,-10631,1481
9715,-6928,3076,476,-7213,-16400,4818
9737,-7880,3700,256,-9206,-22020,5795
9759,-10532,4096,548,-13717,-27183,5781
9781,-14060,2044,-1936,-15950,-32295,3933
9803,-16900,676,-1848,-13224,-32768,4016
9825,-20332,1060,-2728,-8563,-32768,4080
9847,-22920,2476,-4908,-7020,-32768,3618
9869,-27596,2636,-5300,-9265,-32768,3224
9891,-32320,3484,-8364,-8466,-32768,2911
9913,-32768,4740,-11160,-6562,-32768,3345
9935,-32268,4672,-14372,-4960,-32768,3160
9957,-29388,3472,-16712,-1391,-32768,2527
9979,-23940,-2548,-22196,5201,-28097,3250
