Timestamp,Ax,Ay,Az,Gx,Gy,Gz
1047,-16164,2872,-1204,3300,-869,670
1069,-16380,3776,-504,-284,1222,1330
1091,-18024,3664,-3960,-3079,1154,1152
1113,-15648,2164,3384,-2278,-971,-492
1135,-15076,2380,3908,111,-2846,-653
1157,-15756,3652,5176,-499,-3916,-108
1179,-16852,5040,1608,-977,-4646,1618
1201,-15712,7268,-720,-2170,-5768,2439
1223,-16356,2440,1396,-2588,-7973,-1390
1245,-15796,-516,3848,1203,-8111,-1178
1267,-14408,2560,-1172,1905,-5274,2254
1289,-14060,984,-856,-3353,-3063,3396
1311,-13580,-2556,-2484,-5738,-1730,827
1333,-13280,-952,-1444,-8401,923,-3520
1355,-13336,-224,-3872,-9833,4738,-4557
1377,-11424,460,-3816,-11048,7858,-3925
1399,-23848,344,-32768,-13277,21703,3950
1421,-7904,5408,-7364,7762,-3613,1883
1443,-28012,18360,24716,5608,-5020,7225
1465,-15696,7264,-9112,4043,3692,954
1487,-15048,404,1644,-2023,1349,276
1509,-16476,716,-656,-3579,-163,-257
1531,-15756,1724,-896,-1466,2193,1728
1553,-19492,872,1236,2331,107,1640
1575,-17064,3120,-1172,707,-670,372
1597,-15440,4764,-1460,440,163,-19
1619,-16276,3124,-688,-601,-62,-1565
1641,-16128,2492,-836,548,-72,-1877
1663,-16116,1864,60,1162,413,-1499
1685,-16176,2592,-332,2280,954,-697
1707,-16140,2776,-716,963,1116,-1377
1729,-16464,2796,-808,-1055,696,-1984
1751,-16012,2024,-320,-67,1617,-1765
1773,-15908,2048,-108,-125,2794,-1327
1795,-16580,524,-152,-809,4205,-1058
1817,-18512,-460,-1000,-438,5498,-233
1839,-16964,1816,-1196,-1179,6525,441
1861,-16996,2888,-480,-1674,7411,335
1883,-20436,1768,1284,-4398,5719,-497
1905,-22172,5820,-2312,5425,4191,1071
1927,-18384,7244,1760,-649,4860,237
1949,-14328,5872,12204,-7968,2110,2051
1971,-10496,1560,14880,-6336,-5269,-757
1993,-12380,1840,11328,-4489,-11553,-980
2015,-15016,2580,3644,-4764,-13405,-1566
2037,-16832,2736,-3004,-5332,-10451,-12
2059,-20212,-672,-14904,6031,-6876,520
2081,-15924,3676,-17348,-5001,-1869,1588
2103,-16828,4108,-9508,-7385,-2895,267
2125,-13940,-1820,-4348,-1997,-1001,-2784
2147,-16324,76,852,3831,257,-987
2169,-17620,280,-952,13321,-2044,-1622
2191,-17548,4612,2240,9828,-3063,1204
2213,-15628,3356,2816,4924,-4159,1617
2235,-15332,6500,1816,2923,-4577,4275
2257,-15664,4900,916,-1929,-5062,173
2279,-17480,-2676,1828,1412,-5559,-4093
2301,-16060,-1064,11368,9091,-4512,-1752
2323,-11016,2888,14568,6106,-3515,-448
2345,-23068,820,-10648,-3422,-5293,5370
2367,-18256,14916,-1572,-13314,-8503,10420
2389,-14900,-8672,252,-5683,-11956,-6973
2411,-14736,1020,-2776,4907,-6923,61
2433,-12960,1036,-3552,7214,-1506,-1048
2455,-13440,2096,-3656,3599,3750,2678
2477,-15196,6012,-1044,-7317,6229,1823
2499,-19048,2836,-3212,-11218,4443,-786
2521,-14156,956,5132,-6502,1666,-1076
2543,-15816,1052,2880,-4206,-416,-599
2565,-15400,3008,3028,-2559,-1346,2158
2587,-14724,7156,2752,215,-322,3515
2609,-15084,2340,312,-575,423,-6
2631,-13904,1532,1612,-196,807,-2204
2653,-12060,-1148,1028,-2402,2296,-4217
2675,-13688,-1828,-2768,-881,4442,-3222
2697,-16704,4192,-17536,-184,11273,-517
2719,-17532,4100,3320,-9122,723,1740
2741,-22308,2864,7748,9802,-141,199
2763,-16904,-2836,-940,5213,-775,-1326
2785,-16964,2492,2464,5140,514,1210
2807,-16620,2408,-300,5237,1757,1589
2829,-17128,1484,660,2200,2114,1132
2851,-16768,2844,180,736,2938,1654
2873,-15612,3744,256,2,3448,1531
2895,-16016,4144,240,-1418,3314,727
2917,-16296,4660,-1016,-2912,2588,-507
2939,-16356,4068,-832,-3291,1197,-1631
2961,-17268,1680,-316,-1738,-566,-2418
2983,-16152,1600,288,-389,-994,-1859
3005,-15652,2200,632,195,-610,-1040
3027,-16180,3076,632,-718,105,-885
3049,-15828,2836,208,-2455,564,-1099
3071,-15984,2728,220,-2896,1305,-1814
3093,-15464,2480,364,-1738,2884,-1404
3115,-15980,1712,488,-2588,4725,-1530
3137,-17556,224,364,-3432,7287,-1375
3159,-18004,1740,488,-2925,10242,-747
3181,-19640,4084,4300,326,10853,572
3203,-18596,4728,2240,2084,7715,694
3225,-16388,5828,14952,-1208,1967,1364
3247,-14520,5672,11352,-8932,-4706,1340
3269,-14024,2140,7168,-7857,-10458,449
3291,-16832,2760,320,-2619,-9897,-976
3313,-18960,2076,-2620,2179,-7972,-1226
3335,-16540,-704,-17500,13068,-6862,1846
3357,-15880,9580,-6148,5118,-5081,6233
3379,-14824,-3352,772,1887,-4619,-4590
3401,-14392,-3176,3328,7269,-1860,-2674
3423,-14716,3556,2180,5918,-168,364
3445,-16816,5244,-6216,-511,-1020,2587
3467,-15336,7616,-1040,-5779,-2624,2256
3489,-16496,-3156,1192,-5375,-4578,-6191
3511,-14628,916,512,704,-2138,-858
3533,-15088,2564,-1388,399,-761,1161
3555,-16952,1112,-3440,369,-393,3021
3577,-16308,4296,-1456,-2443,-651,1055
3599,-16008,-28,468,1510,-1645,-2485
3621,-15300,1900,4896,5288,-1053,-243
3643,-15148,2116,5036,2577,-1048,909
3665,-15464,5228,3540,1333,-779,4082
3687,-16816,7764,-660,-6178,-1521,2534
3709,-15836,-120,4444,-5214,-4363,-2806
3731,-15724,1400,956,1417,-3340,-259
3753,-14632,2172,832,656,-2218,624
3775,-15832,1372,-1316,-1119,-1395,1815
3797,-16492,5116,-1044,-5781,-1845,3066
3819,-15388,-268,-1140,-3272,-3937,-2280
3841,-14712,1228,-4744,2132,-2183,-396
3863,-13840,1204,-4624,580,495,214
3885,-13236,280,-4964,-219,2760,793
3907,-14288,-820,1584,-248,3243,-325
3929,-14960,2052,10988,-5538,2864,-490
3951,-15284,6608,7080,-7980,3745,-45
3973,-18724,12224,-12356,243,9557,1358
3995,-24420,456,-11620,13977,3525,-1364
4017,-13472,-76,3648,4623,581,-1141
4039,-17268,-360,-416,6655,2796,1492
4061,-17488,2936,-688,6185,3984,3620
4083,-16700,4304,-788,534,3246,3095
